1586386200000,10.0,6.0,10.0,3.0,8.0,,1
1586458200000,2.0,10.0,0.0,8.0,4.0,0.0,1
1586409600000,7.0,10.0,10.0,9.0,10.0,0.0,1
1586384700000,1.0,1.0,2.0,10.0,7.0,,1
1586332200000,9.0,7.0,1.0,6.0,9.0,,1
1586428200000,2.0,7.0,3.0,10.0,10.0,,1
1586338200000,2.0,10.0,1.0,2.0,8.0,,1
1586534400000,5.0,0.0,4.0,10.0,8.0,,1
1586565600000,10.0,7.0,7.0,1.0,3.0,0.0,1
1586314800000,6.0,6.0,5.0,7.0,2.0,,1
1586491200000,4.0,0.0,6.0,7.0,5.0,0.0,1
1586377800000,2.0,4.0,9.0,6.0,6.0,,1
1586394600000,2.0,2.0,2.0,7.0,4.0,,1
1586549100000,1.0,7.0,5.0,10.0,5.0,1.0,1
1586179800000,0.0,5.0,10.0,5.0,7.0,,1
1586186700000,9.0,2.0,2.0,9.0,10.0,,1
1586157900000,0.0,8.0,2.0,8.0,10.0,,1
1586508900000,2.0,10.0,1.0,8.0,9.0,,1
1586485500000,8.0,5.0,3.0,1.0,0.0,,1
1586525100000,3.0,6.0,8.0,10.0,3.0,,1
1586571900000,10.0,6.0,3.0,4.0,5.0,,1
1586494500000,0.0,4.0,0.0,6.0,5.0,,1
1586348700000,10.0,1.0,7.0,4.0,7.0,,1
1586486400000,10.0,5.0,3.0,2.0,8.0,1.0,1
1586200200000,8.0,10.0,8.0,7.0,0.0,,1
1586425500000,8.0,4.0,2.0,8.0,10.0,,1
1586211000000,1.0,5.0,4.0,5.0,10.0,,1
1586557200000,0.0,5.0,3.0,7.0,2.0,,1
1586374500000,5.0,6.0,1.0,9.0,6.0,0.0,1
1586328300000,8.0,3.0,6.0,9.0,5.0,0.0,1
1586263500000,2.0,8.0,10.0,6.0,1.0,,1
1586483700000,3.0,1.0,10.0,9.0,10.0,,1
1586346300000,5.0,4.0,5.0,9.0,5.0,,1
1586394900000,10.0,2.0,10.0,3.0,1.0,,1
1586157300000,3.0,9.0,8.0,9.0,9.0,,1
1586415900000,8.0,7.0,10.0,10.0,2.0,,1
1586413500000,6.0,4.0,4.0,3.0,3.0,1.0,1
1586415600000,4.0,1.0,3.0,10.0,0.0,,1
1586556900000,6.0,8.0,6.0,7.0,3.0,,1
1586443800000,3.0,2.0,5.0,2.0,0.0,,1
